array_sum: 0.010083 s (10000000.0)
array_sum: 0.009585 s (10000000.0)
sum: 0.004677 s (10000000.0)
py_sum: 1.384787 s (10000000.0)
         106794 function calls (103729 primitive calls) in 1.730 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
      401    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      177    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
    45/12    0.000    0.000    0.001    0.000 typing.py:1412(_determine_new_args)
      334    0.000    0.000    0.000    0.000 _parser.py:160(__len__)
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
  529/435    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      438    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.002    0.002 <frozen ntpath>:1(<module>)
      244    0.000    0.000    0.000    0.000 _parser.py:286(tell)
  108/106    0.000    0.000    0.000    0.000 typing.py:1669(__hash__)
        1    0.000    0.000    0.023    0.023 linalg.py:1(<module>)
       65    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       39    0.000    0.000    0.003    0.000 typing.py:485(__getitem__)
        1    0.000    0.000    0.010    0.010 pathlib.py:1(<module>)
    38/27    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
      113    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      176    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
      312    0.000    0.000    0.000    0.000 typing.py:1699(__eq__)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
        2    0.000    0.000    0.008    0.004 shape_base.py:1(<module>)
      115    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      224    0.000    0.000    0.000    0.000 typing.py:1664(__eq__)
        1    0.000    0.000    0.003    0.003 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1597(_make_netmask)
